0.567,0.004,0.008,0.043,0.039,0.026,0.000,0.016,0.000,0.075,0.001,0.012,0.043,0.005,0.034,0.608674
0.552,0.003,0.006,0.053,0.045,0.017,0.000,0.015,0.000,0.071,0.001,0.012,0.049,0.004,0.033,0.616807
0.587,0.005,0.006,0.047,0.044,0.019,0.000,0.014,0.000,0.072,0.000,0.010,0.034,0.002,0.032,0.617442
0.539,0.004,0.010,0.043,0.045,0.032,0.000,0.016,0.000,0.068,0.001,0.017,0.047,0.005,0.035,0.580804
0.482,0.005,0.011,0.055,0.049,0.032,0.000,0.019,0.000,0.071,0.001,0.016,0.044,0.007,0.045,0.587387
0.435,0.037,0.033,0.114,0.032,0.004,0.003,0.011,0.004,0.003,0.007,0.004,0.042,0.006,0.017,0.301586
0.409,0.040,0.032,0.120,0.032,0.005,0.003,0.013,0.004,0.003,0.009,0.005,0.034,0.007,0.019,0.300303
0.449,0.030,0.030,0.112,0.037,0.003,0.002,0.009,0.003,0.003,0.007,0.003,0.038,0.009,0.021,0.317958
0.444,0.047,0.035,0.104,0.030,0.005,0.003,0.012,0.004,0.003,0.006,0.003,0.032,0.006,0.014,0.297940
0.291,0.010,0.025,0.084,0.044,0.030,0.000,0.021,0.001,0.026,0.002,0.010,0.091,0.027,0.117,0.317328
0.464,0.065,0.044,0.092,0.016,0.010,0.007,0.011,0.003,0.004,0.009,0.002,0.017,0.003,0.001,0.470057
0.447,0.069,0.045,0.089,0.018,0.012,0.007,0.013,0.003,0.004,0.009,0.002,0.019,0.004,0.001,0.471194
0.512,0.067,0.042,0.086,0.006,0.010,0.006,0.010,0.001,0.004,0.008,0.000,0.016,0.002,0.000,0.399286
0.469,0.027,0.022,0.160,0.003,0.001,0.001,0.009,0.000,0.001,0.009,0.000,0.065,0.001,0.000,0.400493
0.399,0.030,0.029,0.170,0.004,0.002,0.002,0.013,0.000,0.002,0.011,0.001,0.074,0.002,0.000,0.401940
0.492,0.071,0.042,0.086,0.006,0.011,0.007,0.012,0.001,0.003,0.009,0.001,0.019,0.002,0.000,0.400177
0.473023,0.035381,0.031780,0.100847,0.036582,0.003531,0.003107,0.007980,0.004167,0.002825,0.006638,0.004520,0.034746,0.005791,0.012288,0.500226
0.490537,0.034958,0.029308,0.100071,0.038206,0.003955,0.002825,0.009181,0.003884,0.002401,0.005226,0.002754,0.027542,0.006568,0.009605,0.507723
0.488842,0.032415,0.030720,0.097952,0.037147,0.003955,0.002401,0.009675,0.005085,0.001977,0.006073,0.004661,0.026695,0.006285,0.013701,0.503076
0.472175,0.034251,0.031073,0.103319,0.040607,0.003107,0.002189,0.008545,0.003178,0.002401,0.006497,0.004449,0.030932,0.006992,0.009181,0.511652
0.437571,0.034322,0.036723,0.101766,0.040537,0.003390,0.003037,0.010028,0.004308,0.004520,0.008686,0.004873,0.035734,0.008121,0.013983,0.490716
0.482627,0.033616,0.034251,0.097387,0.039901,0.002825,0.002472,0.007698,0.003531,0.002966,0.006215,0.004661,0.026836,0.006073,0.013136,0.497372
0.479944,0.036723,0.031921,0.104590,0.033757,0.003390,0.002260,0.008263,0.002754,0.003249,0.005297,0.002825,0.032062,0.006144,0.012288,0.507347
0.451412,0.032627,0.029096,0.109110,0.041455,0.004379,0.003249,0.009040,0.003814,0.002542,0.006144,0.003602,0.037571,0.006568,0.014689,0.507210
0.468927,0.034958,0.031427,0.102260,0.039689,0.001836,0.003178,0.009746,0.005226,0.003390,0.006073,0.004873,0.025989,0.006638,0.011723,0.501565
0.469350,0.040749,0.029237,0.103037,0.038206,0.004944,0.002966,0.009110,0.004590,0.001977,0.005155,0.003460,0.029096,0.005297,0.011017,0.515126
0.461582,0.034675,0.035381,0.093291,0.043785,0.002825,0.004237,0.008686,0.003955,0.003672,0.007203,0.005579,0.030226,0.006780,0.014548,0.495999
0.426412,0.034816,0.033828,0.103602,0.048023,0.003249,0.002260,0.009605,0.004167,0.002260,0.007133,0.006497,0.037571,0.007345,0.015960,0.502649
0.479661,0.035805,0.030367,0.108545,0.033333,0.003249,0.002189,0.008898,0.004449,0.001554,0.006003,0.002542,0.030367,0.005508,0.009887,0.504757
0.426271,0.038136,0.032627,0.102331,0.042232,0.004379,0.002895,0.012712,0.005155,0.002966,0.006427,0.005932,0.035311,0.007839,0.018503,0.502925
0.456921,0.034181,0.029520,0.105367,0.040254,0.003814,0.002119,0.010240,0.004237,0.001554,0.006215,0.004308,0.033898,0.008333,0.014266,0.519491
0.434322,0.036158,0.035381,0.104802,0.042514,0.003390,0.004025,0.009463,0.004449,0.002684,0.007415,0.005650,0.031638,0.007627,0.012994,0.497668
0.390113,0.034675,0.030650,0.103037,0.045904,0.005508,0.003955,0.015466,0.007839,0.003814,0.008475,0.007133,0.041808,0.010664,0.023164,0.503459
0.435593,0.035523,0.029944,0.103672,0.041525,0.005085,0.002613,0.011864,0.006356,0.003107,0.005367,0.006144,0.032768,0.008475,0.020480,0.500175
0.481215,0.036511,0.030014,0.102472,0.034887,0.004237,0.001766,0.010240,0.003814,0.002260,0.005720,0.003037,0.029379,0.006709,0.012571,0.508360
0.442090,0.038136,0.033192,0.099647,0.041384,0.003249,0.003107,0.009605,0.005720,0.002825,0.007345,0.004520,0.033757,0.009675,0.013418,0.505394
0.491102,0.032910,0.032627,0.096116,0.038842,0.002684,0.002048,0.007980,0.004661,0.001695,0.005155,0.003531,0.031638,0.006850,0.011441,0.511468
0.479237,0.034887,0.028884,0.112429,0.033475,0.004096,0.002472,0.009887,0.002613,0.001412,0.007486,0.002119,0.031497,0.004661,0.005932,0.504743
0.454520,0.033475,0.030862,0.102331,0.044633,0.002542,0.001766,0.007556,0.004873,0.002684,0.005720,0.005085,0.034605,0.007486,0.018079,0.514045
0.449011,0.034181,0.028531,0.111653,0.042867,0.003672,0.001836,0.011441,0.002542,0.002119,0.006709,0.003037,0.034887,0.005650,0.013418,0.529104
0.415537,0.040890,0.026201,0.106144,0.047246,0.004096,0.003814,0.011088,0.005297,0.002401,0.005932,0.005862,0.033616,0.009958,0.019492,0.514202
0.454802,0.032839,0.031992,0.101977,0.043150,0.004379,0.002895,0.009322,0.005014,0.002119,0.007062,0.004802,0.034181,0.007698,0.011017,0.502072
